date,Day_Degree_Cold,Year,Solar_Radiation,Average_OutdoorTemp,Average_Humidity,Electricity
2019-09-01 00:00:00,7.319993352395058,2019,11.8,26.74000584267902,62.94000308045578,42.75
2019-09-01 00:00:00,7.319993352395058,2019,374.1,26.74000584267902,62.94000308045578,55.25
2019-09-01 01:00:00,7.319993352395058,2019,11.8,26.74000584267902,62.94000308045578,32.0
2019-09-01 02:00:00,7.319993352395058,2019,11.8,26.74000584267902,62.94000308045578,38.0
2019-09-01 03:00:00,7.319993352395058,2019,11.9,26.74000584267902,62.94000308045578,34.75
2019-09-01 04:00:00,7.319993352395058,2019,11.9,26.74000584267902,62.94000308045578,26.75
2019-09-01 05:00:00,7.319993352395058,2019,12.0,26.74000584267902,62.94000308045578,29.25
2019-09-01 06:00:00,7.319993352395058,2019,11.8,26.74000584267902,62.94000308045578,29.25
2019-09-01 07:00:00,7.319993352395058,2019,12.0,26.74000584267902,62.94000308045578,41.5
2019-09-01 08:00:00,7.319993352395058,2019,11.9,26.74000584267902,62.94000308045578,34.5
2019-09-01 09:00:00,7.319993352395058,2019,17.0,26.74000584267902,62.94000308045578,52.5
2019-09-01 10:00:00,7.319993352395058,2019,56.6,26.74000584267902,62.94000308045578,53.5
2019-09-01 11:00:00,7.319993352395058,2019,163.5,26.74000584267902,62.94000308045578,51.0
2019-09-01 13:00:00,7.319993352395058,2019,602.6,26.74000584267902,62.94000308045578,57.5
2019-09-01 14:00:00,7.319993352395058,2019,809.3,26.74000584267902,62.94000308045578,63.0
2019-09-01 15:00:00,7.319993352395058,2019,960.0,26.74000584267902,62.94000308045578,66.5
2019-09-01 16:00:00,7.319993352395058,2019,1033.6,26.74000584267902,62.94000308045578,63.75
2019-09-01 17:00:00,7.319993352395058,2019,1015.7,26.74000584267902,62.94000308045578,65.25
2019-09-01 18:00:00,7.319993352395058,2019,909.3,26.74000584267902,62.94000308045578,63.0
2019-09-01 19:00:00,7.319993352395058,2019,725.7,26.74000584267902,62.94000308045578,63.25
2019-09-01 20:00:00,7.319993352395058,2019,489.8,26.74000584267902,62.94000308045578,59.75
2019-09-01 21:00:00,7.319993352395058,2019,205.6,26.74000584267902,62.94000308045578,56.0
2019-09-01 22:00:00,7.319993352395058,2019,23.9,26.74000584267902,62.94000308045578,55.0
2019-09-01 23:00:00,7.319993352395058,2019,11.9,26.74000584267902,62.94000308045578,51.25
2019-09-02 00:00:00,8.130007735939026,2019,11.9,27.009998698438643,60.76998798701477,41.25
2019-09-02 00:00:00,8.130007735939026,2019,382.6,27.009998698438643,60.76998798701477,94.5
2019-09-02 01:00:00,8.130007735939026,2019,11.7,27.009998698438643,60.76998798701477,27.0
2019-09-02 02:00:00,8.130007735939026,2019,11.8,27.009998698438643,60.76998798701477,33.0
2019-09-02 03:00:00,8.130007735939026,2019,11.7,27.009998698438643,60.76998798701477,41.25
2019-09-02 04:00:00,8.130007735939026,2019,11.6,27.009998698438643,60.76998798701477,24.25
2019-09-02 05:00:00,8.130007735939026,2019,11.8,27.009998698438643,60.76998798701477,29.5
2019-09-02 06:00:00,8.130007735939026,2019,11.6,27.009998698438643,60.76998798701477,35.0
2019-09-02 07:00:00,8.130007735939026,2019,11.6,27.009998698438643,60.76998798701477,48.0
2019-09-02 08:00:00,8.130007735939026,2019,11.7,27.009998698438643,60.76998798701477,63.0
2019-09-02 09:00:00,8.130007735939026,2019,12.8,27.009998698438643,60.76998798701477,62.75
2019-09-02 10:00:00,8.130007735939026,2019,49.1,27.009998698438643,60.76998798701477,84.5
2019-09-02 11:00:00,8.130007735939026,2019,164.8,27.009998698438643,60.76998798701477,31.0
2019-09-02 13:00:00,8.130007735939026,2019,612.5,27.009998698438643,60.76998798701477,103.75
2019-09-02 14:00:00,8.130007735939026,2019,823.0,27.009998698438643,60.76998798701477,112.75
2019-09-02 15:00:00,8.130007735939026,2019,996.6,27.009998698438643,60.76998798701477,97.75
2019-09-02 16:00:00,8.130007735939026,2019,1052.1,27.009998698438643,60.76998798701477,86.25
2019-09-02 17:00:00,8.130007735939026,2019,1007.3,27.009998698438643,60.76998798701477,89.25
2019-09-02 18:00:00,8.130007735939026,2019,876.0,27.009998698438643,60.76998798701477,82.75
2019-09-02 19:00:00,8.130007735939026,2019,671.6,27.009998698438643,60.76998798701477,70.25
2019-09-02 20:00:00,8.130007735939026,2019,423.3,27.009998698438643,60.76998798701477,63.25
2019-09-02 21:00:00,8.130007735939026,2019,157.2,27.009998698438643,60.76998798701477,59.25
2019-09-02 22:00:00,8.130007735939026,2019,15.0,27.009998698438643,60.76998798701477,49.5
2019-09-02 23:00:00,8.130007735939026,2019,11.9,27.009998698438643,60.76998798701477,40.25
2019-09-03 00:00:00,8.820007567476273,2019,11.8,27.249999634669305,59.89997458973694,37.25
2019-09-03 00:00:00,8.820007567476273,2019,376.8,27.249999634669305,59.89997458973694,90.0
2019-09-03 01:00:00,8.820007567476273,2019,11.9,27.249999634669305,59.89997458973694,30.0
2019-09-03 02:00:00,8.820007567476273,2019,11.7,27.249999634669305,59.89997458973694,42.75
2019-09-03 03:00:00,8.820007567476273,2019,11.9,27.249999634669305,59.89997458973694,33.25
2019-09-03 04:00:00,8.820007567476273,2019,11.9,27.249999634669305,59.89997458973694,28.5
2019-09-03 05:00:00,8.820007567476273,2019,11.9,27.249999634669305,59.89997458973694,28.75
2019-09-03 06:00:00,8.820007567476273,2019,11.7,27.249999634669305,59.89997458973694,35.0
2019-09-03 07:00:00,8.820007567476273,2019,11.8,27.249999634669305,59.89997458973694,52.25
