date,Electricity,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2020-04-30,0.1524900521206831,0.7419306094818157,0.7272770637134279,0.1830835218702866,0.15818138534901544,0.7351954236042312,0.4526716176677637,0.3883942253720283,0.3620457997522349,2020,2,4,18,30,0,0
2020-05-31,0.39266901941590643,0.3039747750519467,0.9193419512422327,0.06455033936651583,0.4954917758385967,0.2893272413690015,0.7914542405759202,0.6281284301354876,0.5133009846382427,2020,2,5,22,31,1,0
2020-06-30,0.5438790218577736,0.16455646368030957,0.950860751456679,0.00540629713423831,0.6477800024868564,0.14601642644849988,0.8755833086990894,0.782407499607336,0.6918364966744553,2020,2,6,27,30,0,0
2020-07-31,0.9989348452849461,0.3950481781462027,0.896652553836319,0.0,0.8735545147601301,0.3819231748591015,0.986937434729105,0.9860906238766257,0.9270574016871147,2020,3,7,31,31,0,0
2020-08-31,0.9498593330054431,0.6195173109095301,0.0006455509981673214,0.034644797674394524,1.0,0.5796446132283951,1.0,1.0,1.0,2020,3,8,36,31,0,0
2020-09-30,0.6344599918568922,0.7452301693018623,0.0003227754990836607,0.10729956731416383,0.6022855166125191,0.7605432199270344,0.687268248687218,0.7068331565018208,0.7241672443219364,2020,3,9,40,30,0,0
2020-10-31,0.24534938805530176,0.8709430276941944,0.0,0.17999117608229703,0.20436937468316488,0.9415335500875478,0.3743779287740925,0.41351766466254547,0.44819462943925614,2020,4,10,44,31,1,0
2020-11-30,0.1530878169467713,1.0,0.6176503927942318,0.25541101055806936,0.011955933756098911,1.0,0.193687797869218,0.2940445042361623,0.32876476769342183,2020,4,11,49,30,0,0
2020-12-31,0.07322741612372624,0.5913976369214335,0.621284011565572,0.608243778280543,0.005482242889344458,0.5836301482132861,0.1109208668438117,0.10740479708508908,0.14571138288530708,2020,4,12,53,31,0,0
2021-01-31,0.0679945240396099,0.7248652623985383,0.653340555369536,1.0,0.0,0.7167715956664856,0.0,0.0008271218408130709,0.006580242799466251,2021,1,1,4,31,1,0
2021-02-28,0.0743788483706994,0.7685444829180836,0.7055227887854328,0.7181869141887525,0.0,0.7655476015467706,0.03467934968408158,0.10779746381265272,0.11922522987367153,2021,1,2,8,28,1,0
2021-03-31,0.10604078530661676,0.7450419136339606,0.8321425162785812,0.49985859728506793,0.08680722718707856,0.7379103132818781,0.13726544528739545,0.19407102703954884,0.12855650069883892,2021,1,3,13,31,0,0
2021-04-30,0.1524900521206831,0.8331876453068582,0.6978111490526049,0.17731193438914028,0.01602470702388126,0.8348087309450003,0.18547914181611122,0.3320887466296567,0.3926330668141205,2021,2,4,17,30,0,0
2021-05-31,0.3925318274886075,0.46559168170578186,0.8540879596851524,0.08385180995475112,0.09725680617505557,0.4522051584450236,0.36854487639307004,0.5375485017147418,0.4941278810180723,2021,2,5,22,31,0,0
2021-06-30,0.5438790218577736,0.341220852048704,0.8934790480397701,0.0014611613876319759,0.24409509781103508,0.32525326771276103,0.500610746076329,0.7529727213828901,0.694139231268603,2021,2,6,26,30,0,0
2021-07-31,1.0,0.30034593724248737,0.8832674887704639,0.0,0.4626891844067732,0.28841488998691817,0.640562770613942,0.923915269891606,0.8595100530778961,2021,3,7,30,31,1,0
2021-08-31,0.9498593330054431,0.5707596840358771,0.8115002464709746,0.0,0.5050629844188886,0.5633110004834947,0.6296172753835395,0.9484061458610461,0.9525374472876039,2021,3,8,35,31,0,0
