date,Gas_01,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2020-02-29,0.3867772472810402,0.8787779640914483,0.8377341282415015,0.4312355516814529,0.0184551784825141,0.7657927267161918,0.2223330224906392,0.1967106575634975,0.1664006307926249,2020,1,2,9,29,1,0
2020-03-31,0.375844802383998,0.8668357122408081,0.7349002450168228,0.2449019480096423,0.0860197226836368,0.544539036773533,0.3761446985427904,0.2857229417197215,0.2832163138519538,2020,1,3,14,31,0,0
2020-04-30,0.3218038870492307,0.8693713958529303,0.7277635367766898,0.1687102308510869,0.1581813853490154,0.7736838511437351,0.4827487160560682,0.3955159199876662,0.3578201000898894,2020,2,4,18,30,0,0
2020-05-31,0.1285711683738256,0.8144452169645413,0.9194858260794216,0.059482702456186,0.4954917758385967,0.3926210641086357,0.8029143649311272,0.6324585981402352,0.5100771734867849,2020,2,5,22,31,1,0
2020-06-30,0.0,0.7712159011901356,0.9509484042265222,0.0049818663539427,0.6477800024868564,0.2701399795151931,0.8824203249880297,0.7849412025296021,0.6897952742615545,2020,2,6,27,30,0,0
2020-07-31,0.006571115635272,0.7685166250869084,0.8968369011794509,0.0,0.8735545147601301,0.4717584995429468,0.9876552561934008,0.9862525882222124,0.9265742423742022,2020,3,7,31,31,0,0
2020-08-31,0.0873069812741468,0.5367832678074281,0.002428162415857,0.0319249474432625,1.0,0.640741812018565,1.0,1.0,1.0,2020,3,8,36,31,0,0
2020-09-30,0.0824461280412996,0.5797796420999349,0.0021059626717426,0.0988758277471843,0.6022855166125191,0.795347433109917,0.7044536605112877,0.7102468664722581,0.7223401752594866,2020,3,9,40,30,0,0
2020-10-31,0.0873640074751653,0.624209228868859,0.0017837629276281,0.1658606550594833,0.2043693746831648,0.9500314459758132,0.4087574661735149,0.4203468155028562,0.4445395649108725,2020,4,10,44,31,1,0
2020-11-30,0.3542997480760692,1.0,0.6183324138489587,0.2353595239646448,0.0119559337560989,1.0,0.2379967213930432,0.3022648312206802,0.3243186201589896,2020,4,11,49,30,0,0
2020-12-31,0.6083020277432035,0.8204163428898614,0.6219595511058414,0.5604925402306339,0.0054822428893444,0.6441480633046619,0.159778045506794,0.1177984047229667,0.1400527209947119,2020,4,12,53,31,0,0
2021-01-31,0.7855285939492563,0.9972598257739972,0.65395891363538,0.9214932568896996,0.0,0.7579378627517925,0.0549525647841285,0.0124617472836584,0.0,2021,1,1,4,31,1,0
2021-02-28,0.5970597438156625,0.8991452292339783,0.7060480663178287,0.6618043986113568,0.0,0.799624445203141,0.0877261952580242,0.118186499138372,0.1133911282292592,2021,1,2,8,28,1,0
