date,Electricity,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2018-09-16,0.14105843352542627,0.7262248680752845,0.6351734612935578,0.0,0.43712102228841776,0.6902261156721556,0.6724533937069612,0.7304953241519972,0.7546618914150034,2018,3,9,37,16,1,0
2018-09-23,0.15260602165117743,0.6109560249352541,0.8782926159059384,0.0,0.4136766225535648,0.7009127184332433,0.6290515713070249,0.7646778422052846,0.8153695115392506,2018,3,9,38,23,1,0
2018-09-30,0.13980814186407922,0.5169721755879174,0.8038859829901546,0.0,0.4961272255575016,0.6205109388616247,0.7131970996942636,0.7534159139994084,0.7879813124112702,2018,3,9,39,30,1,0
2018-10-07,0.10306101335258665,0.6571060919585104,0.8706314308009063,0.0,0.42470958094114203,0.6792643214236574,0.6314994412237444,0.7368417555077413,0.8250694987304104,2018,4,10,40,7,1,0
2018-10-14,0.08323684662355214,0.854913628929753,0.6893704729930356,0.009041591320072331,0.34285214774298894,0.6686235839104715,0.6341003030102591,0.6187685836889003,0.6409837124040627,2018,4,10,41,14,1,0
2018-10-21,0.05842031811998397,0.8192844779343819,0.6236868639882319,0.0108499095840868,0.13808993078644952,0.8070907673255978,0.44586930587250245,0.5582799881680302,0.6284307878037383,2018,4,10,42,21,1,0
2018-10-28,0.04680229102739636,0.6026182450752002,0.6869786176622308,0.09538878842676311,0.040572814715606295,0.9122597807641155,0.33546017317045873,0.4438899626806705,0.48628318139211074,2018,4,10,43,28,1,0
2018-11-04,0.007955200817092015,0.5821918773886521,0.6738977058189888,0.20547016274864374,0.0332175091238882,0.518919414759437,0.2689087098096427,0.39537159273711553,0.4566839557720278,2018,4,11,44,4,1,0
2018-11-11,0.013779622887381299,0.591099029572656,0.7946791519781706,0.4213381555153707,0.0,0.7262762005228638,0.14651521397365888,0.24712495289498318,0.30362386377034545,2018,4,11,45,11,1,0
2018-11-18,0.01845500931115093,0.9893711743602418,0.3378692120151379,0.3245931283905967,0.0,0.6631197541622715,0.18088738738759763,0.274040253009656,0.32651868647889165,2018,4,11,46,18,1,0
2018-11-25,0.008236956684437831,0.9135768728553642,0.3669411263541008,0.18806509945750452,0.0009490716892539485,1.0,0.21158775592645687,0.3409035248734749,0.41046636974356077,2018,4,11,47,25,1,0
2018-12-02,0.010204845320431262,0.5400794735312362,0.7532601904997354,0.3293399638336347,0.0,0.8124570013300924,0.1460052410743422,0.26129090032375835,0.3478443936123972,2018,4,12,48,2,1,0
2018-12-09,0.010495406058631635,0.8967402621064823,0.685110433687943,0.4231464737793852,0.00166087545619441,0.6599091868091551,0.21852338735716267,0.21001017063159225,0.238006303359559,2018,4,12,49,9,1,0
2018-12-16,0.012273989971252097,0.5202701969919787,0.7065356590147879,0.38223327305605787,0.008423011242128792,0.8842361142961978,0.2337205797567973,0.21135593563732583,0.2553378981202342,2018,4,12,50,16,1,0
2018-12-23,0.01007277225761291,0.5643054525262778,0.6968975692386133,0.4274412296564195,0.00023726792231348713,0.5242397835160302,0.1878230188183033,0.21227672222019622,0.25968862766921025,2018,4,12,51,23,1,0
2018-12-30,0.002179205536502793,0.7037897421882114,0.4976614562174221,0.5214737793851717,0.0,0.601155804247122,0.20659002151315417,0.15022987248216094,0.1846563738081805,2018,4,12,52,30,1,0
2019-01-06,0.0011754502590833249,0.6177353514057531,0.7908286272978978,0.535262206148282,0.0,0.7868183277530619,0.15931553374650545,0.1600752059451596,0.20883501835085075,2019,1,1,1,6,1,0
2019-01-13,0.0,0.5530617047766541,0.7549544213590554,0.7522603978300181,0.0,0.6167499885336883,0.17701159335279154,0.06310929579519348,0.05941242154585334,2019,1,1,2,13,1,0
2019-01-20,0.00491752037226994,0.4456244008034113,0.5637908200793301,0.8037974683544303,0.0,0.5801953859560611,0.13998756086240632,0.06070108473230172,0.052850665504774734,2019,1,1,3,20,1,0
2019-01-27,0.00956208974804862,0.16272769470364423,0.6981315491479149,0.549502712477396,0.0,0.41622712470760914,0.10816525194505061,0.16921224203671958,0.23686512839589322,2019,1,1,4,27,1,0
2019-02-03,0.008690407533447504,0.21602962037506973,0.6925722975154082,0.4740054249547921,0.0,0.2653763243590331,0.1218835229366671,0.22615935070039586,0.28600697526875385,2019,1,2,5,3,1,0
2019-02-10,0.004992361774533672,0.3699613260627197,0.88611144602141,0.560126582278481,0.0,0.2741824519561528,0.08363555548792224,0.17537442916823684,0.2580481886589406,2019,1,2,6,10,1,0
2019-02-17,0.009042602367629772,0.7043493538437509,0.7552171630431211,0.7215189873417722,0.0,0.5053433013805441,0.13529581018869374,0.11261928205876279,0.10812632780733937,2019,1,2,7,17,1,0
2019-02-24,0.010689113217431883,0.7309498865593426,0.7659660159388284,0.5180831826401446,0.0,0.7675549236343628,0.17038194566167572,0.20668117298583003,0.2119019260657027,2019,1,2,8,24,1,0
2019-03-03,0.011314259048105412,0.4377589288425579,0.888675442455568,0.4509493670886076,0.01767646021235479,0.7067834701646565,0.25865825453337893,0.20809776772870753,0.1924306282481541,2019,1,3,9,3,1,0
2019-03-10,0.019524801119979573,0.328377082818187,0.8424981384781227,0.260623869801085,0.06465550883042523,0.43292207494381524,0.36264172870403355,0.30725939973013394,0.3117547353864646,2019,1,3,10,10,1,0
2019-03-17,0.020480129607698978,0.06396328687255176,1.0,0.23033453887884267,0.10546559146834503,0.3606384442507912,0.44714423812079407,0.30662193209583904,0.30612018400336455,2019,1,3,11,17,1,0
2019-03-24,0.02553412547821455,0.5382222352364462,0.738495919866859,0.20049728752260396,0.13524271571868768,0.2270788423611431,0.4951836852364176,0.3596734052166021,0.34406425154525405,2019,1,3,12,24,1,0
2019-03-31,0.021061251084099723,0.5550376978704388,0.8239938758734425,0.2619801084990958,0.0800779237808019,0.5497408613493561,0.39742188043742555,0.3120049921187735,0.29092829229956296,2019,1,3,13,31,1,0
2019-04-07,0.019524801119979573,0.4555943813254553,0.7360188999901848,0.19778481012658228,0.1179221573898031,0.6809613355960192,0.4685121026021594,0.3571235346794225,0.34763042330670985,2019,2,4,14,7,1,0
2019-04-14,0.02864224488987308,0.07877943926044483,0.8988082114024316,0.2280741410488246,0.03274297327926122,0.3851763518781821,0.30399484528262466,0.29741406626713507,0.3490568920112921,2019,2,4,15,14,1,0
2019-04-21,0.02872148872756409,0.5261396122628694,0.7286095844995328,0.12386980108499096,0.20025412643258314,0.19423932486355083,0.5586753112013341,0.4703802843724802,0.44077882971593496,2019,2,4,16,21,1,0
2019-04-28,0.0333000215719336,0.3745325724350046,0.8133827358604179,0.179249547920434,0.08885683690640092,0.6188139246892629,0.4168008506114564,0.36307323259950813,0.37038259914479776,2019,2,4,17,28,1,0
2019-05-05,0.05099340955416536,0.4847543782020415,0.9736442910707919,0.1525768535262206,0.20274543961687477,0.38912076319772526,0.5857548721550455,0.4555060395722662,0.4047604949252315,2019,2,5,18,5,1,0
2019-05-12,0.09799821261121652,0.3064963755384634,0.9619477561008338,0.052667269439421335,0.3842554001866924,0.5307067834701648,0.6989688558033305,0.6030443820429597,0.559175732196267,2019,2,5,19,12,1,0
2019-05-19,0.07619735237533404,0.02815085221480417,0.9101224119217838,0.04000904159132008,0.4574525542204032,0.4028803375682246,0.7556778422073362,0.6346344448091283,0.5760793863455674,2019,2,5,20,19,1,0
2019-05-26,0.07925264256186522,0.16712921389745636,0.9205269826107843,0.023508137432188065,0.3990846453312854,0.0,0.702946644418,0.612606396557383,0.583853640785541,2019,2,5,21,26,1,0
2019-06-02,0.07874196005230093,0.22847935293275545,0.9343091429487396,0.021021699819168176,0.4853315350922379,0.3464660826491771,0.7730169207841007,0.6560250254265789,0.5946948029403666,2019,2,6,22,2,1,0
2019-06-09,0.09250837563340039,0.0,0.8937255188244717,0.03955696202531645,0.46777370884103986,0.04260881530064703,0.764143392335992,0.6484462435521844,0.5775771784853788,2019,2,6,23,9,1,0
2019-06-16,0.09952585770448212,0.04399621286065676,0.8894219912406374,0.0,0.5300565384483302,0.2112094665871672,0.7647043625252401,0.7279172086276131,0.7257159534562522,2019,2,6,24,16,1,0
2019-06-23,0.09905919954919061,0.2505715413613746,0.8921979930336623,0.014014466546112117,0.4665873692294724,0.19786267944778263,0.7435914844935329,0.6796113278954896,0.6317116658242776,2019,2,6,25,23,1,0
2019-06-30,0.13772138747154927,0.34249643193343643,0.8929372937722745,0.0,0.5591218589317324,0.4832362518919418,0.7859192351368105,0.7540533816337032,0.7359865281292447,2019,2,6,26,30,1,0
2019-07-07,0.15471478822084378,0.4600918804253044,0.7523288165300129,0.0,0.6859415634082913,0.4393432096500484,0.8657809911697899,0.8530025244236981,0.8174378911608949,2019,3,7,27,7,1,0
2019-07-14,0.13432270732169035,0.08925100968692097,0.8148613373376427,0.0,0.5816623115515137,0.3471081961198001,0.7727109370445107,0.8156044232117315,0.8143709834460429,2019,3,7,28,14,1,0
2019-07-21,0.1427401638586466,0.4142687957938025,0.8523029333228078,0.0,0.6594861900703376,0.34651194789707873,0.8288079559693365,0.853639992057993,0.8372658061545892,2019,3,7,29,21,1,0
2019-07-28,0.15833799257749387,0.17841146206136657,0.8458938482432199,0.0,0.7464448835982305,0.2938586433059671,0.8748075114876938,0.9126411630988416,0.8886900029547813,2019,3,7,30,28,1,0
2019-08-04,0.15603551884902728,0.47729126268344596,0.8764316799781077,0.0,0.7080074801834455,0.5020868687795261,0.8657809911697899,0.8525775460008348,0.8504606416719755,2019,3,8,31,4,1,0
