date,Gas_01,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2019-04-22,0.0,0.7335078319905117,0.7580250450644032,0.0852372583479789,0.0707576706324358,0.6046145778710017,0.4511230623220499,0.3774016468435499,0.524730383042023,2019,2,4,17,22,0,0
2019-04-23,0.1980209812634489,0.7454091857183758,0.5570795879143836,0.1168717047451669,0.1020663744520976,0.4857542387694458,0.5150268902246125,0.3774016468435499,0.4722945332837486,2019,2,4,17,23,0,0
2019-04-24,0.4566036007146621,0.5586274589996321,0.4427294106411679,0.1045694200351493,0.0175328741390106,0.5733263415486803,0.3438785194558684,0.3595608417200366,0.4920044626255113,2019,2,4,17,24,0,0
2019-04-25,0.5420816345229281,0.8256513026052105,0.6599816161109717,0.0852372583479789,0.0,0.6131795140709666,0.3049667826637138,0.3664226898444648,0.5251022685013016,2019,2,4,17,25,0,0
2019-04-26,0.0660176828988373,0.4610036399329272,1.0,0.0676625659050966,0.1352536005009392,0.4420555846879916,0.5726036064536539,0.4528819762122598,0.554853105243585,2019,2,4,17,26,0,0
2019-04-27,0.0,0.51290335773588,0.9663837457770774,0.1362038664323374,0.0425798371947401,0.5107498689040378,0.3941790572603606,0.3618481244281794,0.4391967274079584,2019,2,4,17,27,1,0
2019-04-28,0.0081909386596157,0.5583411721401987,0.9850421993816328,0.1010544815465729,0.1008140262993112,0.4992134242265339,0.512179689971528,0.3682525160109789,0.4986984008925251,2019,2,4,17,28,1,0
2019-04-29,0.0988226670942373,0.5113492290703856,0.8547672766775299,0.0369068541300527,0.0720100187852222,0.6185981471770671,0.4533375514077823,0.4473924977127173,0.607660840461138,2019,2,4,18,29,0,0
2019-04-30,0.3989142883320803,0.5366651670688317,0.9578006183671766,0.1168717047451669,0.1577958672510958,0.23317601817864,0.6263840556785829,0.4656907593778592,0.4722945332837486,2019,2,4,18,30,0,0
2019-05-01,0.3330386183516912,0.647376385423909,0.9681027587771132,0.1072056239015817,0.1246086412022542,0.4399580492920819,0.560265738690288,0.4176578225068619,0.4886574934920045,2019,2,5,18,1,0,0
2019-05-02,0.3264373081680947,0.5954766676209561,0.924375365588702,0.1265377855887522,0.1991233562930494,0.2859639923090369,0.6792154381524834,0.4579139981701738,0.4559315730754927,2019,2,5,18,2,0,0
2019-05-03,0.0,0.622960206126539,0.9411715551098856,0.1010544815465729,0.1415153412648716,0.3719629435413391,0.5944321417273015,0.4698078682525161,0.4986984008925251,2019,2,5,18,3,0,0
2019-05-04,0.0,0.6619770152549999,0.8358581336771359,0.0799648506151142,0.1352536005009392,0.4680999825205386,0.5811452072129072,0.4528819762122598,0.5343994049832651,2019,2,5,18,4,1,0
2019-05-05,0.0,0.7495398961187681,0.9429741312418676,0.0246045694200351,0.2398246712586099,0.4357629785002622,0.6472635242012021,0.549405306495883,0.6284864261807364,2019,2,5,18,5,1,0
2019-05-06,0.0,0.6208744018649545,0.8207093316143204,0.0641476274165202,0.171571696931747,0.4656528578919769,0.6067700094906675,0.5160109789569991,0.5615470435105987,2019,2,5,19,6,0,0
2019-05-07,0.0,0.7134677518301912,0.9437739497904952,0.0377855887521968,0.1840951784596117,0.6227932179688865,0.6004428978171467,0.5471180237877401,0.6065451840833024,2019,2,5,19,7,0,0
2019-05-08,0.0312611663383095,0.6040652734039508,0.9207105253733484,0.0114235500878734,0.3393863494051345,0.5719279846180738,0.7383739322999052,0.5892040256175664,0.6504276682781703,2019,2,5,19,8,0,0
2019-05-09,0.0,0.3477567379657273,0.8944955771228019,0.0351493848857645,0.2047589229805886,0.6056633455689564,0.6194242328377098,0.559469350411711,0.6106359241353664,2019,2,5,19,9,0,0
2019-05-10,0.0426542672591898,0.5079137867571879,0.9276582029151595,0.0325131810193321,0.2836568566061365,0.5596923614752666,0.6975640620056945,0.5457456541628545,0.6139828932688732,2019,2,5,19,10,0,0
2019-05-11,0.2153740437033258,0.5279947650402848,0.9195048287552676,0.023725834797891,0.3700688791484032,0.3261667540639749,0.7782347358430877,0.6761207685269899,0.6296020825585721,2019,2,5,19,11,1,0
2019-05-12,0.2063081222227308,0.4881190953335243,0.921140278623357,0.0,0.4746399499060739,0.2412165705296276,0.8035431825371717,0.7799634034766696,0.8185198958720714,2019,2,5,19,12,1,0
2019-05-13,0.2817719547390926,0.5574823115618993,0.8974083491506405,0.0,0.4733876017532873,0.3520363572801958,0.8320151850680166,0.720494053064959,0.748977314986984,2019,2,5,20,13,0,0
2019-05-14,0.3082275871547295,0.6327757555928184,0.9018730079146224,0.0105448154657293,0.458985597996243,0.3488900541863311,0.8582726985131288,0.6980786825251603,0.6522870955745631,2019,2,5,20,14,0,0
2019-05-15,0.0712309313298407,0.4904093902089892,0.9128436533801286,0.0,0.356293049467752,0.3742352735535746,0.7317304650427081,0.6591948764867339,0.7062104871699517,2019,2,5,20,15,0,0
2019-05-16,0.0,0.7814404318841766,0.8686387565805966,0.0289982425307557,0.2892924232936756,0.4343646215696557,0.7004112622587789,0.5827996340347668,0.6206768315358869,2019,2,5,20,16,0,0
2019-05-17,0.0,0.431884176516298,0.5988850290680323,0.0386643233743409,0.2980588603631809,0.4922216395735011,0.7162290414425815,0.5722781335773103,0.604313871327631,2019,2,5,20,17,0,0
