date,Electricity,Maximum_Humidity,Solar_Radiation,Day_Degree_Hot,Day_Degree_Cold,Average_Humidity,Max_OutdoorTemp,Average_OutdoorTemp,Min_OutdoorTemp,Year,Quarter,Month,Week,Day,Is_Weekend,Is_Holiday
2018-09-10,0.10265295373270868,0.5334923080608582,0.8474802813237506,0.0,0.5140889167188478,0.5848577235772359,0.7975324264473268,0.8394327538883807,0.8910375604313872,2018,3,9,37,10,0,0
2018-09-11,0.13894048180079283,0.5330378911639032,0.5969768124887448,0.0,0.47401377582968063,0.5848577235772359,0.8158810503005378,0.7593778591033853,0.788769059129788,2018,3,9,37,11,0,0
2018-09-12,0.1760596568070302,0.5786932329394497,0.5557032097648748,0.0,0.43393863494051343,0.5848577235772359,0.7905726036064538,0.7424519670631292,0.7523242841204909,2018,3,9,37,12,0,0
2018-09-13,0.13935630526986942,0.7641584661470555,0.3789390725138167,0.0,0.39386349405134624,0.5848577235772359,0.7317304650427081,0.7589204025617569,0.7954629973968018,2018,3,9,37,13,0,0
2018-09-14,0.1453996063537826,0.673491710095019,0.40452178550600437,0.0,0.3631809643080776,0.5848577235772359,0.713065485605821,0.7191216834400732,0.7664559315730756,2018,3,9,37,14,0,0
2018-09-15,0.12103235106589416,0.6301015817682073,0.6338116235927016,0.0,0.03631809643080776,0.5848577235772359,0.3802594115786144,0.6143641354071362,0.7724060989215322,2018,3,9,37,15,1,0
2018-09-16,0.12422033099548138,0.5719134702576064,0.8178782889926489,0.0,0.13024420788979335,0.5848577235772359,0.47769693135083835,0.6280878316559928,0.7657121606545184,2018,3,9,37,16,1,0
2018-09-17,0.15804063981371108,0.6337816715299365,0.47498163635435714,0.0,0.30807764558547274,0.5848577235772359,0.6659285036380893,0.6774931381518756,0.7456303458534771,2018,3,9,38,17,0,0
2018-09-18,0.16743825021484213,0.6234135567026677,0.8034044872857815,0.0,0.37946149029430176,0.5848577235772359,0.7035748180955395,0.7836230558096983,0.827817032354035,2018,3,9,38,18,0,0
2018-09-19,0.1691569872203587,0.6104291556258093,0.8628031557909637,0.0,0.332498434564809,0.6243224932249323,0.6004428978171467,0.8032936870997257,0.907400520639643,2018,3,9,38,19,0,0
2018-09-20,0.1664957170182685,0.6100463274962334,0.8849255204773051,0.0,0.22417031934877896,0.5848577235772359,0.5444479595064853,0.7136322049405307,0.8319077724060989,2018,3,9,38,20,0,0
2018-09-21,0.13805339173342943,0.5828690586662056,0.9068689016305854,0.0,0.2830306825297432,0.5848577235772359,0.6004428978171467,0.7538883806038429,0.8415767943473411,2018,3,9,38,21,0,0
2018-09-22,0.116818673245918,0.5435524333402724,0.9100548085190715,0.0,0.39386349405134624,0.5848577235772359,0.7067383739323,0.768526989935956,0.8545927854220899,2018,3,9,38,22,1,0
2018-09-23,0.10437169073822526,0.32266589512979116,0.9411740788006133,0.0,0.2623669380087664,0.5848577235772359,0.5890540968048086,0.7570905763952424,0.8181480104127928,2018,3,9,38,23,1,0
2018-09-24,0.13625149003409753,0.21312059615337112,0.913467427882768,0.0,0.3926111458985598,0.5848577235772359,0.7064220183486241,0.7602927721866422,0.8516177017478617,2018,3,9,39,24,0,0
2018-09-25,0.1527735425387409,0.40059876436487585,0.885581793431862,0.0,0.26988102692548527,0.6243224932249323,0.5881050300537806,0.7406221408966147,0.8382298252138343,2018,3,9,39,25,0,0
2018-09-26,0.1743409198015136,0.6381092171605798,0.7307133083919349,0.0,0.3631809643080776,0.6124661246612466,0.6877570389117369,0.7520585544373284,0.8252138341390851,2018,3,9,39,26,0,0
2018-09-27,0.15044493111191196,0.5914306481262592,0.7982497615336243,0.0,0.3876017532874139,0.61449864498645,0.7095855741853844,0.7548032936870998,0.8319077724060989,2018,3,9,39,27,0,0
2018-09-28,0.11789981426551714,0.630108638507923,0.2909746321320966,0.0,0.37570444583594237,0.5867208672086722,0.7162290414425815,0.7140896614821592,0.7891409445890667,2018,3,9,39,28,0,0
2018-09-29,0.10484295733651207,0.5515141999244929,0.8427450678525926,0.0,0.3575453976205385,0.5465785907859079,0.7023093957608353,0.7086001829826167,0.779100037188546,2018,3,9,39,29,1,0
2018-09-30,0.10323510658941591,0.5961092665577575,0.8325072097615026,0.0,0.4721352536005009,0.26710704607046054,0.8222081619740589,0.7543458371454713,0.7690591297880254,2018,3,9,39,30,1,0
2018-10-01,0.13237047098938265,0.6316946407590228,0.6242658351627808,0.0,0.3706950532247964,0.4051490514905149,0.7067383739323,0.7351326623970726,0.7988099665303087,2018,4,10,40,1,0,0
2018-10-02,0.11243866603831121,0.6768119061312483,0.8425183553773818,0.0,0.4783969943644333,0.6390582655826558,0.7282505536222715,0.8060384263494967,0.9297136481963555,2018,4,10,40,2,0,0
2018-10-03,0.11360297175172566,0.6554970238200248,0.834070332616902,0.0,0.4201628052598622,0.5931571815718157,0.737741221132553,0.7653247941445565,0.8430643361844552,2018,4,10,40,3,0,0
2018-10-04,0.0939761040113104,0.5932459944181189,0.8553574408156254,0.0,0.18785222291797118,0.6299119241192412,0.4729515975956975,0.7191216834400732,0.884715507623652,2018,4,10,40,4,0,0
2018-10-05,0.08973470462672914,0.5294054343952552,0.9034443500313514,0.0,0.28428303068252975,0.5557249322493226,0.6007592534008226,0.699451052150046,0.8434362216437339,2018,4,10,40,5,0,0
2018-10-06,0.07770354558811299,0.5904303552715611,0.8262785828109792,0.0,0.2498434564809017,0.595020325203252,0.5944321417273015,0.6724611161939616,0.7768687244328747,2018,4,10,40,6,1,0
