,Min,Max
Maximum_Humidity,36.69,76.233385
Solar_Radiation,11.2,319.879704
Day_Degree_Hot,0.0,4.95129
Day_Degree_Cold,0.0,10.650221
Average_Humidity,51.91,76.318333
Max_OutdoorTemp,16.745161,41.1944
Average_OutdoorTemp,12.976129,29.154671
Min_OutdoorTemp,9.43871,24.681817
