,Min,Max
Maximum_Humidity,54.97808,76.233385
Solar_Radiation,11.750611,319.879704
Day_Degree_Hot,0.0,4.562581
Day_Degree_Cold,0.0,10.650221
Average_Humidity,55.457667,76.318333
Max_OutdoorTemp,18.08871,41.1944
Average_OutdoorTemp,13.164516,29.154671
Min_OutdoorTemp,9.337742,24.681817
