,Min,Max
Maximum_Humidity,50.924286,78.366786
Solar_Radiation,11.731046,340.226786
Day_Degree_Hot,0.0,6.32
Day_Degree_Cold,0.0,12.041842
Average_Humidity,47.621429,78.768571
Max_OutdoorTemp,15.555714,43.568407
Average_OutdoorTemp,10.525714,30.694805
Min_OutdoorTemp,6.042857,26.072339
